# z, nz0
0.000000000000000000e+00 1.507522063914859774e-13
2.020202020202020374e-02 1.220415892541778332e-12
4.040404040404040747e-02 9.188440668960586286e-12
6.060606060606060774e-02 6.433770422054148641e-11
8.080808080808081495e-02 4.189662964486193205e-10
1.010101010101010222e-01 2.537361811494400223e-09
1.212121212121212155e-01 1.429142367551070730e-08
1.414141414141414366e-01 7.486147379881757504e-08
1.616161616161616299e-01 3.646960293376399040e-07
1.818181818181818232e-01 1.652317416175626258e-06
2.020202020202020443e-01 6.962187412404994077e-06
2.222222222222222376e-01 2.728272354889426179e-05
2.424242424242424310e-01 9.943047603155151363e-05
2.626262626262626521e-01 3.370086890775040103e-04
2.828282828282828731e-01 1.062312915717689762e-03
3.030303030303030387e-01 3.114250971122131326e-03
3.232323232323232598e-01 8.490720383377028252e-03
3.434343434343434809e-01 2.152906915690954576e-02
3.636363636363636465e-01 5.076866579617310415e-02
3.838383838383838675e-01 1.113412342411133765e-01
4.040404040404040886e-01 2.270942278715504248e-01
4.242424242424242542e-01 4.307704895707750725e-01
4.444444444444444753e-01 7.599334746806113428e-01
4.646464646464646964e-01 1.246794823533951879e+00
4.848484848484848619e-01 1.902410302257732111e+00
5.050505050505050830e-01 2.699623321897410388e+00
5.252525252525253041e-01 3.562804047746876979e+00
5.454545454545455252e-01 4.372909468326351856e+00
5.656565656565657463e-01 4.991589001255047897e+00
5.858585858585858563e-01 5.299036798385124314e+00
6.060606060606060774e-01 5.231724127646578459e+00
6.262626262626262985e-01 4.803773462733894384e+00
6.464646464646465196e-01 4.102135347923853814e+00
6.666666666666667407e-01 3.257821132141474063e+00
6.868686868686869618e-01 2.406214114986942931e+00
7.070707070707071829e-01 1.652841039100920728e+00
7.272727272727272929e-01 1.055887597484419294e+00
7.474747474747475140e-01 6.273271349083843207e-01
7.676767676767677351e-01 3.466252863822194552e-01
7.878787878787879562e-01 1.781214381957676729e-01
8.080808080808081773e-01 8.512594149972063651e-02
8.282828282828283983e-01 3.783532309851694864e-02
8.484848484848485084e-01 1.563949585472209497e-02
8.686868686868687295e-01 6.012261131518273349e-03
8.888888888888889506e-01 2.149526009290658648e-03
9.090909090909091717e-01 7.147223405334201390e-04
9.292929292929293927e-01 2.210150224240261748e-04
9.494949494949496138e-01 6.356177457047826958e-05
9.696969696969697239e-01 1.700043433917187405e-05
9.898989898989899450e-01 4.228767462546402305e-06
1.010101010101010166e+00 9.782669348877694415e-07
1.030303030303030498e+00 2.104702557788947879e-07
1.050505050505050608e+00 4.211277562958253559e-08
1.070707070707070718e+00 7.836583900610448377e-09
1.090909090909091050e+00 1.356217963149639600e-09
1.111111111111111160e+00 2.182840387161625435e-10
1.131313131313131493e+00 3.267414652763997003e-11
1.151515151515151603e+00 4.548584924299305731e-12
1.171717171717171713e+00 5.888953789659907550e-13
1.191919191919192045e+00 7.090710736410840126e-14
1.212121212121212155e+00 7.940195118764277807e-15
1.232323232323232487e+00 8.269178449740068637e-16
1.252525252525252597e+00 8.009093009023772843e-17
1.272727272727272929e+00 7.214298264707696720e-18
1.292929292929293039e+00 6.043584986768130154e-19
1.313131313131313149e+00 4.708525830377231062e-20
1.333333333333333481e+00 3.411654663869392174e-21
1.353535353535353591e+00 2.298978739419352375e-22
1.373737373737373924e+00 1.440769907920398892e-23
1.393939393939394034e+00 8.397385423338726642e-25
1.414141414141414366e+00 4.551801641947260130e-26
1.434343434343434476e+00 2.294628339266102452e-27
1.454545454545454586e+00 1.075799061932226114e-28
1.474747474747474918e+00 4.690722629291877678e-30
1.494949494949495028e+00 1.902120948121944298e-31
1.515151515151515360e+00 7.173420464547607096e-33
1.535353535353535470e+00 2.515962883184927397e-34
1.555555555555555580e+00 8.206764211159825070e-36
1.575757575757575912e+00 2.489599369942340689e-37
1.595959595959596022e+00 7.023874747599635503e-39
1.616161616161616355e+00 1.842951197834510723e-40
1.636363636363636465e+00 4.497184396846202988e-42
1.656565656565656797e+00 1.020604170972113574e-43
1.676767676767676907e+00 2.154089610496376883e-45
1.696969696969697017e+00 4.228243372374044347e-47
1.717171717171717349e+00 7.718732158180932399e-49
1.737373737373737459e+00 1.310453903680794959e-50
1.757575757575757791e+00 2.069127773596585172e-52
1.777777777777777901e+00 3.038383962721354939e-54
1.797979797979798233e+00 4.149423703408511883e-56
1.818181818181818343e+00 5.270146591177768869e-58
1.838383838383838453e+00 6.225115173815787907e-60
1.858585858585858785e+00 6.838516040515071724e-62
1.878787878787878896e+00 6.986604069344454392e-64
1.898989898989899228e+00 6.638350491968896117e-66
1.919191919191919338e+00 5.866026332629386504e-68
1.939393939393939448e+00 4.820783427548659453e-70
1.959595959595959780e+00 3.684520846498970087e-72
1.979797979797979890e+00 2.618992159442212405e-74
2.000000000000000000e+00 1.731319266681382383e-76
