# z, h, chi
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.001001001001000992e-02 1.004654418499444590e+00 2.993981022537223069e+01
2.002002002002001985e-02 1.009379923268835855e+00 5.974018248383958252e+01
3.003003003003002977e-02 1.014176434059029352e+00 8.940032665898264952e+01
4.004004004004003969e-02 1.019043857288461474e+00 1.189194956594311492e+02
5.005005005005004615e-02 1.023982086420248683e+00 1.482969852523248164e+02
6.006006006006005954e-02 1.028991002341958616e+00 1.775321338505798110e+02
7.007007007007007293e-02 1.034070473747366936e+00 2.066243222556863373e+02
8.008008008008007939e-02 1.039220357519544002e+00 2.355729733578209846e+02
9.009009009009008584e-02 1.044440499114624776e+00 2.643775517950922449e+02
1.001001001001000923e-01 1.049730732945650225e+00 2.930375635737781295e+02
1.101101101101101126e-01 1.055090882765870930e+00 3.215525556514350001e+02
1.201201201201201191e-01 1.060520762050952692e+00 3.499221154847865023e+02
1.301301301301301394e-01 1.066020174379525676e+00 3.781458705443019994e+02
1.401401401401401459e-01 1.071588913811557076e+00 4.062234877973867242e+02
1.501501501501501523e-01 1.077226765264046371e+00 4.341546731621082245e+02
1.601601601601601588e-01 1.082933504883572873e+00 4.619391709333655172e+02
1.701701701701701652e-01 1.088708900415246594e+00 4.895767631834109466e+02
1.801801801801801717e-01 1.094552711567645886e+00 5.170672691385985900e+02
1.901901901901901781e-01 1.100464690373341936e+00 5.444105445342303256e+02
2.002002002002001846e-01 1.106444581544650863e+00 5.716064809493234407e+02
2.102102102102102188e-01 1.112492122824259910e+00 5.986550051231049565e+02
2.202202202202202252e-01 1.118607045330431982e+00 6.255560782550006707e+02
2.302302302302302317e-01 1.124789073896472313e+00 6.523096952898399650e+02
2.402402402402402382e-01 1.131037927404217713e+00 6.789158841899575236e+02
2.502502502502502724e-01 1.137353319111287675e+00 7.053747051958420116e+02
2.602602602602602788e-01 1.143734956971897088e+00 7.316862500769018425e+02
2.702702702702702853e-01 1.150182543951024705e+00 7.578506413739055461e+02
2.802802802802802917e-01 1.156695778331773505e+00 7.838680316345690926e+02
2.902902902902902982e-01 1.163274354015775947e+00 8.097386026437333157e+02
3.003003003003003046e-01 1.169917960816510449e+00 8.354625646494994271e+02
3.103103103103103111e-01 1.176626284745429407e+00 8.610401555866532135e+02
3.203203203203203175e-01 1.183399008290803911e+00 8.864716402986372259e+02
3.303303303303303240e-01 1.190235810689224349e+00 9.117573097592752447e+02
3.403403403403403304e-01 1.197136368189700040e+00 9.368974802954078314e+02
3.503503503503503369e-01 1.204100354310329468e+00 9.618924928115211515e+02
3.603603603603603434e-01 1.211127440087516050e+00 9.867427120174064612e+02
3.703703703703703498e-01 1.218217294317738508e+00 1.011448525659833194e+03
3.803803803803803563e-01 1.225369583791873218e+00 1.036010343759145599e+03
3.903903903903903627e-01 1.232583973522110687e+00 1.060428597851656605e+03
4.004004004004003692e-01 1.239860126961489506e+00 1.084703740238650653e+03
4.104104104104104311e-01 1.247197706216110147e+00 1.108836243242737737e+03
4.204204204204204376e-01 1.254596372250078362e+00 1.132826598472278874e+03
4.304304304304304440e-01 1.262055785083262105e+00 1.156675316094529990e+03
4.404404404404404505e-01 1.269575603981930145e+00 1.180382924118094707e+03
4.504504504504504570e-01 1.277155487642373632e+00 1.203949967685255842e+03
4.604604604604604634e-01 1.284795094367599200e+00 1.227377008374682646e+03
4.704704704704704699e-01 1.292494082237201081e+00 1.250664623514971709e+03
4.804804804804804763e-01 1.300252109270527034e+00 1.273813405509441964e+03
4.904904904904904828e-01 1.308068833583248436e+00 1.296823961172556665e+03
5.005005005005005447e-01 1.315943913537461540e+00 1.319696911078298626e+03
5.105105105105105512e-01 1.323877007885446266e+00 1.342432888920802043e+03
5.205205205205205576e-01 1.331867775907212392e+00 1.365032540887486221e+03
5.305305305305305641e-01 1.339915877541963729e+00 1.387496525044917007e+03
5.405405405405405705e-01 1.348020973513624599e+00 1.409825510737573723e+03
5.505505505505505770e-01 1.356182725450566728e+00 1.432020177999690986e+03
5.605605605605605835e-01 1.364400795999667348e+00 1.454081216980272757e+03
5.705705705705705899e-01 1.372674848934861025e+00 1.476009327381392495e+03
5.805805805805805964e-01 1.381004549260310910e+00 1.497805217909832209e+03
5.905905905905906028e-01 1.389389563308354392e+00 1.519469605742103113e+03
6.006006006006006093e-01 1.397829558832366148e+00 1.541003216002862928e+03
6.106106106106106157e-01 1.406324205094684698e+00 1.562406781256717295e+03
6.206206206206206222e-01 1.414873172949743019e+00 1.583681041013377580e+03
6.306306306306306286e-01 1.423476134922552871e+00 1.604826741246122765e+03
6.406406406406406351e-01 1.432132765282683851e+00 1.625844633923496303e+03
6.506506506506506415e-01 1.440842740113881471e+00 1.646735476554154729e+03
6.606606606606606480e-01 1.449605737379455306e+00 1.667500031744751823e+03
6.706706706706706544e-01 1.458421436983598385e+00 1.688139066770761929e+03
6.806806806806806609e-01 1.467289520828748861e+00 1.708653353160086226e+03
6.906906906906906674e-01 1.476209672869149170e+00 1.729043666289314615e+03
7.007007007007006738e-01 1.485181579160729903e+00 1.749310784992483377e+03
7.107107107107106803e-01 1.494204927907444969e+00 1.769455491182155583e+03
7.207207207207206867e-01 1.503279409504195696e+00 1.789478569482654621e+03
7.307307307307306932e-01 1.512404716576466690e+00 1.809380806875268036e+03
7.407407407407406996e-01 1.521580544016797987e+00 1.829162992355222514e+03
7.507507507507507061e-01 1.530806589018209651e+00 1.848825916600239452e+03
7.607607607607607125e-01 1.540082551104710928e+00 1.868370371650455581e+03
7.707707707707707190e-01 1.549408132158994089e+00 1.887797150599517408e+03
7.807807807807807254e-01 1.558783036447441095e+00 1.907107047296612791e+03
7.907907907907907319e-01 1.568206970642542775e+00 1.926300856059238185e+03
8.008008008008007383e-01 1.577679643842842649e+00 1.945379371396477836e+03
8.108108108108108558e-01 1.587200767590513983e+00 1.964343387742566392e+03
8.208208208208208623e-01 1.596770055886662432e+00 1.983193699200511901e+03
8.308308308308308687e-01 1.606387225204467528e+00 2.001931099295563627e+03
8.408408408408408752e-01 1.616051994500244060e+00 2.020556380738275038e+03
8.508508508508508816e-01 1.625764085222529243e+00 2.039070335196957330e+03
8.608608608608608881e-01 1.635523221319281184e+00 2.057473753079283142e+03
8.708708708708708945e-01 1.645329129243273458e+00 2.075767423322817194e+03
8.808808808808809010e-01 1.655181537955783710e+00 2.093952133194248745e+03
8.908908908908909074e-01 1.665080178928641352e+00 2.112028668097099853e+03
9.009009009009009139e-01 1.675024786144723388e+00 2.129997811387682759e+03
9.109109109109109204e-01 1.685015096096986076e+00 2.147860344199094015e+03
9.209209209209209268e-01 1.695050847786082615e+00 2.165617045273017993e+03
9.309309309309309333e-01 1.705131782716658106e+00 2.183268690799122396e+03
9.409409409409409397e-01 1.715257644892391520e+00 2.200816054261841145e+03
9.509509509509509462e-01 1.725428180809834844e+00 2.218259906294316806e+03
9.609609609609609526e-01 1.735643139451135353e+00 2.235601014539310199e+03
9.709709709709709591e-01 1.745902272275687173e+00 2.252840143516862099e+03
9.809809809809809655e-01 1.756205333210780983e+00 2.269978054498500569e+03
9.909909909909909720e-01 1.766552078641307366e+00 2.287015505387809753e+03
1.001001001001001089e+00 1.776942267398564645e+00 2.303953250607146856e+03
1.011011011011011096e+00 1.787375660748234951e+00 2.320792040990328132e+03
1.021021021021021102e+00 1.797852022377569581e+00 2.337532623681088808e+03
1.031031031031031109e+00 1.808371118381840947e+00 2.354175742037131386e+03
1.041041041041041115e+00 1.818932717250097975e+00 2.370722135539586816e+03
1.051051051051051122e+00 1.829536589850285333e+00 2.387172539707705255e+03
1.061061061061061128e+00 1.840182509413753831e+00 2.403527686018604527e+03
1.071071071071071135e+00 1.850870251519218357e+00 2.419788301831907120e+03
1.081081081081081141e+00 1.861599594076193132e+00 2.435955110319104733e+03
1.091091091091091148e+00 1.872370317307945120e+00 2.452028830397471665e+03
1.101101101101101154e+00 1.883182203734004911e+00 2.468010176668394706e+03
1.111111111111111160e+00 1.894035038152269923e+00 2.483899859359937182e+03
1.121121121121121167e+00 1.904928607620725023e+00 2.499698584273511187e+03
1.131131131131131173e+00 1.915862701438828530e+00 2.515407052734492027e+03
1.141141141141141180e+00 1.926837111128578250e+00 2.531025961546646613e+03
1.151151151151151186e+00 1.937851630415295068e+00 2.546556002950223956e+03
1.161161161161161193e+00 1.948906055208151189e+00 2.561997864583583578e+03
1.171171171171171199e+00 1.960000183580467681e+00 2.577352229448219987e+03
1.181181181181181206e+00 1.971133815749806839e+00 2.592619775877062693e+03
1.191191191191191212e+00 1.982306754057886922e+00 2.607801177505925352e+03
1.201201201201201219e+00 1.993518802950336566e+00 2.622897103247974883e+03
1.211211211211211225e+00 2.004769768956311538e+00 2.637908217271117792e+03
1.221221221221221231e+00 2.016059460668004455e+00 2.652835178978174554e+03
1.231231231231231238e+00 2.027387688720046377e+00 2.667678642989741093e+03
1.241241241241241244e+00 2.038754265768845109e+00 2.682439259129625043e+03
1.251251251251251251e+00 2.050159006471855783e+00 2.697117672412754018e+03
1.261261261261261257e+00 2.061601727466809919e+00 2.711714523035449929e+03
1.271271271271271264e+00 2.073082247350920504e+00 2.726230446367987497e+03
1.281281281281281270e+00 2.084600386660078186e+00 2.740666072949311001e+03
1.291291291291291277e+00 2.096155967848043034e+00 2.755022028483852864e+03
1.301301301301301283e+00 2.107748815265657161e+00 2.769298933840339487e+03
1.311311311311311290e+00 2.119378755140086223e+00 2.783497405052505655e+03
1.321321321321321296e+00 2.131045615554105321e+00 2.797618053321639309e+03
1.331331331331331302e+00 2.142749226425427533e+00 2.811661485020864802e+03
1.341341341341341309e+00 2.154489419486106172e+00 2.825628301701099190e+03
1.351351351351351315e+00 2.166266028262002319e+00 2.839519100098591480e+03
1.361361361361361322e+00 2.178078888052339401e+00 2.853334472143986659e+03
1.371371371371371328e+00 2.189927835909346587e+00 2.867075004972833540e+03
1.381381381381381335e+00 2.201812710618002988e+00 2.880741280937468218e+03
1.391391391391391341e+00 2.213733352675886668e+00 2.894333877620216299e+03
1.401401401401401348e+00 2.225689604273140443e+00 2.907853367847837035e+03
1.411411411411411354e+00 2.237681309272558927e+00 2.921300319707158906e+03
1.421421421421421361e+00 2.249708313189799913e+00 2.934675296561845698e+03
1.431431431431431367e+00 2.261770463173732537e+00 2.947978857070224421e+03
1.441441441441441373e+00 2.273867607986922668e+00 2.961211555204139586e+03
1.451451451451451380e+00 2.285999597986260401e+00 2.974373940268758361e+03
1.461461461461461386e+00 2.298166285103738549e+00 2.987466556923296594e+03
1.471471471471471393e+00 2.310367522827381226e+00 3.000489945202600666e+03
1.481481481481481399e+00 2.322603166182330536e+00 3.013444640539542888e+03
1.491491491491491406e+00 2.334873071712093129e+00 3.026331173788185424e+03
1.501501501501501412e+00 2.347177097459948847e+00 3.039150071247668620e+03
1.511511511511511419e+00 2.359515102950526355e+00 3.051901854686778734e+03
1.521521521521521425e+00 2.371886949171547521e+00 3.064587041369155486e+03
1.531531531531531432e+00 2.384292498555745432e+00 3.077206144079098976e+03
1.541541541541541438e+00 2.396731614962948065e+00 3.089759671147940935e+03
1.551551551551551444e+00 2.409204163662352460e+00 3.102248126480940300e+03
1.561561561561561451e+00 2.421710011314955224e+00 3.114672009584669468e+03
1.571571571571571457e+00 2.434249025956181978e+00 3.127031815594856653e+03
1.581581581581581464e+00 2.446821076978683784e+00 3.139328035304653895e+03
1.591591591591591470e+00 2.459426035115316544e+00 3.151561155193299783e+03
1.601601601601601477e+00 2.472063772422306904e+00 3.163731657455139157e+03
1.611611611611611705e+00 2.484734162262595358e+00 3.175840020028985691e+03
1.621621621621621712e+00 2.497437079289364092e+00 3.187886716627786427e+03
1.631631631631631718e+00 2.510172399429747347e+00 3.199872216768564613e+03
1.641641641641641725e+00 2.522939999868726968e+00 3.211796985802626295e+03
1.651651651651651731e+00 2.535739759033211360e+00 3.223661484945986558e+03
1.661661661661661737e+00 2.548571556576292974e+00 3.235466171310013124e+03
1.671671671671671744e+00 2.561435273361697629e+00 3.247211497932247767e+03
1.681681681681681750e+00 2.574330791448409261e+00 3.258897913807394161e+03
1.691691691691691757e+00 2.587257994075480294e+00 3.270525863918450796e+03
1.701701701701701763e+00 2.600216765647024530e+00 3.282095789267963482e+03
1.711711711711711770e+00 2.613206991717389460e+00 3.293608126909385192e+03
1.721721721721721776e+00 2.626228558976511085e+00 3.305063309978520465e+03
1.731731731731731783e+00 2.639281355235448157e+00 3.316461767725041227e+03
1.741741741741741789e+00 2.652365269412092275e+00 3.327803925544055346e+03
1.751751751751751796e+00 2.665480191517064945e+00 3.339090205007712029e+03
1.761761761761761802e+00 2.678626012639774512e+00 3.350321023896826318e+03
1.771771771771771808e+00 2.691802624934674704e+00 3.361496796232521319e+03
1.781781781781781815e+00 2.705009921607668399e+00 3.372617932307852698e+03
1.791791791791791821e+00 2.718247796902710345e+00 3.383684838719419986e+03
1.801801801801801828e+00 2.731516146088562191e+00 3.394697918398951970e+03
1.811811811811811834e+00 2.744814865445740715e+00 3.405657570644840689e+03
1.821821821821821841e+00 2.758143852253606365e+00 3.416564191153624961e+03
1.831831831831831847e+00 2.771503004777649437e+00 3.427418172051410238e+03
1.841841841841841854e+00 2.784892222256919236e+00 3.438219901925209797e+03
1.851851851851851860e+00 2.798311404891641541e+00 3.448969765854207708e+03
1.861861861861861867e+00 2.811760453830975504e+00 3.459668145440919943e+03
1.871871871871871873e+00 2.825239271160951304e+00 3.470315418842260442e+03
1.881881881881881879e+00 2.838747759892559674e+00 3.480911960800489851e+03
1.891891891891891886e+00 2.852285823950004406e+00 3.491458142674049668e+03
1.901901901901901892e+00 2.865853368159109404e+00 3.501954332468270877e+03
1.911911911911911899e+00 2.879450298235885608e+00 3.512400894865944338e+03
1.921921921921921905e+00 2.893076520775246241e+00 3.522798191257759299e+03
1.931931931931931912e+00 2.906731943239879712e+00 3.533146579772586847e+03
1.941941941941941918e+00 2.920416473949277503e+00 3.543446415307620555e+03
1.951951951951951925e+00 2.934130022068897503e+00 3.553698049558352977e+03
1.961961961961961931e+00 2.947872497599488106e+00 3.563901831048392978e+03
1.971971971971971938e+00 2.961643811366556633e+00 3.574058105159115257e+03
1.981981981981981944e+00 2.975443875009973649e+00 3.584167214159135256e+03
1.991991991991991950e+00 2.989272600973730043e+00 3.594229497233611255e+03
2.002002002002002179e+00 3.003129902495828674e+00 3.604245290513364125e+03
2.012012012012012185e+00 3.017015693598319448e+00 3.614214927103811078e+03
2.022022022022022192e+00 3.030929889077468964e+00 3.624138737113717525e+03
2.032032032032032198e+00 3.044872404494066931e+00 3.634017047683750661e+03
2.042042042042042205e+00 3.058843156163863597e+00 3.643850183014842514e+03
2.052052052052052211e+00 3.072842061148156390e+00 3.653638464396360632e+03
2.062062062062062218e+00 3.086869037244475145e+00 3.663382210234069589e+03
2.072072072072072224e+00 3.100924002977432536e+00 3.673081736077900132e+03
2.082082082082082231e+00 3.115006877589675760e+00 3.682737354649510507e+03
2.092092092092092237e+00 3.129117581032979434e+00 3.692349375869639971e+03
2.102102102102102243e+00 3.143256033959452633e+00 3.701918106885258567e+03
2.112112112112112250e+00 3.157422157712876487e+00 3.711443852096506816e+03
2.122122122122122256e+00 3.171615874320160344e+00 3.720926913183423949e+03
2.132132132132132263e+00 3.185837106482912073e+00 3.730367589132463308e+03
2.142142142142142269e+00 3.200085777569138923e+00 3.739766176262797671e+03
2.152152152152152276e+00 3.214361811605048747e+00 3.749122968252407190e+03
2.162162162162162282e+00 3.228665133266976017e+00 3.758438256163956794e+03
2.172172172172172289e+00 3.242995667873424193e+00 3.767712328470451212e+03
2.182182182182182295e+00 3.257353341377208444e+00 3.776945471080684456e+03
2.192192192192192302e+00 3.271738080357715628e+00 3.786137967364461474e+03
2.202202202202202308e+00 3.286149812013273941e+00 3.795290098177609252e+03
2.212212212212212314e+00 3.300588464153624280e+00 3.804402141886771460e+03
2.222222222222222321e+00 3.315053965192504393e+00 3.813474374393985272e+03
2.232232232232232327e+00 3.329546244140330291e+00 3.822507069161034906e+03
2.242242242242242334e+00 3.344065230596982907e+00 3.831500497233599162e+03
2.252252252252252340e+00 3.358610854744695562e+00 3.840454927265170681e+03
2.262262262262262347e+00 3.373183047341044016e+00 3.849370625540769652e+03
2.272272272272272353e+00 3.387781739712034224e+00 3.858247856000431057e+03
2.282282282282282360e+00 3.402406863745277565e+00 3.867086880262481827e+03
2.292292292292292366e+00 3.417058351883279332e+00 3.875887957646605173e+03
2.302302302302302373e+00 3.431736137116801810e+00 3.884651345196678449e+03
2.312312312312312379e+00 3.446440152978340166e+00 3.893377297703414570e+03
2.322322322322322385e+00 3.461170333535670718e+00 3.902066067726772872e+03
2.332332332332332392e+00 3.475926613385504904e+00 3.910717905618168516e+03
2.342342342342342398e+00 3.490708927647220072e+00 3.919333059542465890e+03
2.352352352352352405e+00 3.505517211956687085e+00 3.927911775499761006e+03
2.362362362362362411e+00 3.520351402460180967e+00 3.936454297346956537e+03
2.372372372372372418e+00 3.535211435808369718e+00 3.944960866819121748e+03
2.382382382382382424e+00 3.550097249150402146e+00 3.953431723550653714e+03
2.392392392392392431e+00 3.565008780128062771e+00 3.961867105096223440e+03
2.402402402402402437e+00 3.579945966870020868e+00 3.970267246951520065e+03
2.412412412412412444e+00 3.594908747986144792e+00 3.978632382573789528e+03
2.422422422422422450e+00 3.609897062561913561e+00 3.986962743402170418e+03
2.432432432432432456e+00 3.624910850152889719e+00 3.995258558877825635e+03
2.442442442442442463e+00 3.639950050779281021e+00 4.003520056463877609e+03
2.452452452452452469e+00 3.655014604920567400e+00 4.011747461665137507e+03
2.462462462462462476e+00 3.670104453510212750e+00 4.019940998047640733e+03
2.472472472472472482e+00 3.685219537930443323e+00 4.028100887257984141e+03
2.482482482482482489e+00 3.700359800007097633e+00 4.036227349042468177e+03
2.492492492492492495e+00 3.715525182004552729e+00 4.044320601266042104e+03
2.502502502502502502e+00 3.730715626620713099e+00 4.052380859931057785e+03
2.512512512512512508e+00 3.745931076982082164e+00 4.060408339195834742e+03
2.522522522522522515e+00 3.761171476638882183e+00 4.068403251393031496e+03
2.532532532532532521e+00 3.776436769560259421e+00 4.076365807047828184e+03
2.542542542542542527e+00 3.791726900129544386e+00 4.084296214895925004e+03
2.552552552552552534e+00 3.807041813139583564e+00 4.092194681901353761e+03
2.562562562562562540e+00 3.822381453788125771e+00 4.100061413274101142e+03
2.572572572572572547e+00 3.837745767673286235e+00 4.107896612487558741e+03
2.582582582582582553e+00 3.853134700789058620e+00 4.115700481295779355e+03
2.592592592592592560e+00 3.868548199520898567e+00 4.123473219750566386e+03
2.602602602602602566e+00 3.883986210641360071e+00 4.131215026218375897e+03
2.612612612612612573e+00 3.899448681305794029e+00 4.138926097397043122e+03
2.622622622622622579e+00 3.914935559048111635e+00 4.146606628332341643e+03
2.632632632632632586e+00 3.930446791776591287e+00 4.154256812434358835e+03
